[ 20:37:53 DEBUG ] - Game Engine starting...
[ 20:37:53 DEBUG ] - TextureManager loading...
[ 20:37:53 DEBUG ] - Application starting...
[ 20:37:57 DEBUG ] - Delete GameObject 0x563f258602e0
[ 20:37:57 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:37:57 DEBUG ] - Delete GameObject 0x563f2584ece0
[ 20:37:57 DEBUG ] - Delete GameObject 0x563f2584f0c0
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f2585f710
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f2585d300
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f25802f50
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f257e1b80
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f25857920
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f25846040
[ 20:37:58 DEBUG ] - Delete GameObject 0x563f2581d140
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f2584f0c0
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f2584ece0
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f258602e0
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f2583f810
[ 20:37:59 DEBUG ] - Delete GameObject 0x563f2583a650
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25857920
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f257e1b80
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25802f50
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2585d300
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2585f710
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2583aa30
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2583b080
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25850e10
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f258511f0
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25851880
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2584d2b0
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2584d710
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2584db70
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25843420
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25846040
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f2581d140
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25843840
[ 20:38:00 DEBUG ] - Delete GameObject 0x563f25843ce0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f258415c0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f25841a60
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f25841ec0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f25842320
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585bfc0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585c420
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585c880
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585cce0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585a300
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585abc0
[ 20:38:01 DEBUG ] - Delete GameObject 0x563f2585b020
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2583a650
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2583f810
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f258602e0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2584e900
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2584ece0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f258557d0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25855c30
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25856090
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f258564f0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2582c420
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2582c880
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25857920
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f257e1b80
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2585d300
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25802f50
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2585f710
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2583aa30
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25850e10
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f258511f0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25851880
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2584d2b0
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2584d710
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f2584db70
[ 20:38:02 DEBUG ] - Delete GameObject 0x563f25842fc0
[ 20:38:03 DEBUG ] - Delete GameObject 0x563f25843420
